Brand,Price Value,Currency,Rating,Ratings Count,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type,Resolution Width,Resolution Height
Apple,134.6,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,375.85,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,GRÁFICOS INTEL HD 620,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,197.22,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Intel GMA 950,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,339.0,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Nvidia GeForce GT720M,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,111.53,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,371.12,$,Unknown,4.0,Intel Core i5 3rd generation,14.0,Unknown,Black,Unknown,480GB,Intel HD Graphics 4000,3.10 GHz,Notebook/Laptop,Unknown,E5430,Windows 10 Pros,"10/100 LAN Card, Wi-Fi",NO,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,732.75,$,Unknown,4.0,Intel Core i5 6th generation,13.0,Unknown,Unknown,Unknown,2TB,Intel HD Graphics 520,2.00-3.00GHz,Notebook/Laptop,Unknown,E736,Windows 11 pros,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Lenovo,565.19,$,Unknown,4.0,Intel Celeron,15.0,Unknown,Unknown,Unknown,480GB,Intel HD Graphics 510,1.60GHz,Notebook/Laptop,Unknown,L560,Windows 11 pros,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Toshiba,69.42,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,92.02,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,296.22,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,120GB,Intel HD Graphics 4400,Unknown,Laptop,Unknown,E5440,Windows 11 Pro,Unknown,NO,Unknown,Unknown,1920.0,1080.0
Unknown,109.25,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,604.44,$,Unknown,4.0,Intel Core i5 4th generation,15.0,Unknown,Unknown,Unknown,480GB,AMD Radeon HD8790M 2GB GDDR5,Unknown,Laptop,Unknown,E6540,Windows 10 Pros,Webcam integrated,NO,Unknown,Unknown,1920.0,1080.0
Simpletek,3.0,$,Unknown,4.0,Intel Core i7 11th Generation,13.0,Unknown,Unknown,Unknown,960GB,Intel Iris Xe Graphics,2.40 GHz,Notebook/Laptop,Unknown,33,Windows 11 Pro,"Touch ID, 10/100 LAN Card, Shockproof, Bluetooth, Backlit Keyboard, Webcam integrated, Wi-Fi",NO,Unknown,Unknown,1920.0,1080.0
Unknown,116.09,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,46.53,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,1.0,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 620,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Simpletek,2.0,$,Unknown,4.0,inter Core i7 8550U,14.0,Unknown,Unknown,Unknown,480GB,Intel UHD Graphics 620,1.50-1.99GHz,Notebook/Laptop,Unknown,W14X,Windows 11 Pro,"Touch ID, 10/100 LAN Card, Shockproof, Bluetooth, Webcam integrated, Wi-Fi",NO,Unknown,SSD,1920.0,1080.0
Samsung,94.86,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Chunghwa,111.94,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Simpletek,2.0,$,Unknown,4.0,Intel Core i7 11th Generation,13.0,Unknown,Black,Unknown,960GB,Intel Iris Xe Graphics,2.40 GHz,Notebook/Laptop,Unknown,33,Windows 10 Pros,"Touch ID, 10/100 LAN Card, Shockproof, Bluetooth, Backlit Keyboard, Webcam integrated, Wi-Fi",NO,Unknown,Unknown,1920.0,1080.0
Dell,105.01,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,376.21,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 5500,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,1.0,$,Unknown,4.0,intel Core m5,11.0,Unknown,Black,Unknown,960GB,Intel HD Graphics 5300,Unknown,NOTEBOOK,Unknown,12 Rugged Tablets,Windows 11 Pro,Webcam integrated,NO,Unknown,Unknown,1920.0,1080.0
Unknown,52.74,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,135.43,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,509.94,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 4400,Unknown,Pc Portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,133.23,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,369.5,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 4400,Unknown,Pc Portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,363.88,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 5500,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,107.82,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,209.76,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel GMA 950,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,127.8,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,129.7,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
C600,21.88,$,Unknown,4.0,Intel Pentium,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,326.9,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 5500,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,419.37,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,INTEL HD-GRAFIK 620,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,332.23,$,Unknown,4.0,Intel Core i5 6th generation,13.0,Unknown,Gray,Unknown,240GB,Intel HD Graphics 520,2.30GHz,Notebook/Laptop,Unknown,E736,Windows 11 pros,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Unknown,86.97,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
JVC,37.87,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,293.12,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 4400,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 11 Pro,"10/100 LAN Card, Wi-Fi, SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Unknown,285.24,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
AUO,113.0,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Samsung,137.93,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,536.44,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 4000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,540.71,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 4000,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,44.81,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
ASUS,107.01,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
HP,60.85,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,104.74,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,346.61,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,120GB,Nvidia GeForce GT720M,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 10 Pros,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Unknown,334.82,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,intel GMA 950,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,405.3,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,480GB,Nvidia GeForce GT720M,Unknown,Laptop,Unknown,E5440,Windows 10 Pros,Unknown,NO,Unknown,Unknown,1920.0,1080.0
Samsung,91.56,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Samsung,113.89,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,112.33,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,334.72,$,Unknown,4.0,Intel Core i5 5th generation,14.0,Unknown,Unknown,Unknown,120GB,Intel HD Graphics 5500,2.70 GHz,Notebook/Laptop,Unknown,E7450,Windows 10 Pros,"10/100 LAN Card, Wi-Fi, SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Unknown,340.29,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,450.19,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 520,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,1.0,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 620,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,263.85,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,469.61,$,Unknown,4.0,Intel Core i5 2nd generation,15.0,Unknown,Unknown,Unknown,120GB,Intel HD Graphics 3000,2.00-3.00GHz,Notebook/Laptop,Unknown,E6520,Windows 11 pros,"10/100 LAN Card,  Wi-Fi",NO,Unknown,SSD,1920.0,1080.0
Unknown,114.47,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,410.8,$,Unknown,4.0,Intel Core i5 3rd generation,14.0,Unknown,Unknown,Unknown,960GB,Intel HD Graphics 4000,2.00-3.00GHz,Notebook/Laptop,Unknown,E6430,Windows 11 Pro,"10/100 LAN Card,  Wi-Fi",NO,Unknown,Unknown,1920.0,1080.0
AUO,95.36,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,411.08,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 520,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,321.89,$,Unknown,4.0,Intel Core i3 6th generation,13.0,Unknown,Unknown,Unknown,256GB,Intel HD Graphics 520,2.00-3.00GHz,Notebook/Laptop,Unknown,E736,Windows 11 pros,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Lenovo,420.65,$,Unknown,4.0,Intel Core i3 7th generation,15.0,Unknown,Unknown,Unknown,128GB,Intel HD Graphics 620,Unknown,Unknown,Unknown,E570,Windows 10 Pros,Webcam integrated,400GB,Unknown,Unknown,1920.0,1080.0
LG,92.95,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
CLAA156WA11A,92.5,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,482.9,$,Unknown,4.0,Intel Core i5 2nd generation,15.0,Unknown,Unknown,Unknown,120GB,Intel HD Graphics 3000,Unknown,Laptop,Unknown,E6520,Windows 11 Pro,Unknown,NO,Unknown,Unknown,1920.0,1080.0
Lenovo,664.94,$,Unknown,4.0,Intel Core i5 4th generation,13.0,Unknown,Black / Grey,Unknown,240GB,Intel HD Graphics 4400,Unknown,Convertible,Unknown,2 Pros,Windows 10 Home,Webcam integrated,NO,Unknown,Unknown,1920.0,1080.0
Unknown,77.09,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,588.38,$,Unknown,4.0,Intel Core i3 4th generation,13.0,Unknown,Unknown,Unknown,960GB,Intel HD Graphics 4600,Unknown,Laptop,Unknown,E734,Windows 10 Pros,Webcam integrated,NO,Unknown,Unknown,1920.0,1080.0
Unknown,827.17,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Gráficos Intel HD 620,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,1.0,$,Unknown,4.0,intel Core m5,11.0,Unknown,Black,Unknown,960GB,Intel HD Graphics 5300,2.90GHz,Notebook/Laptop,Unknown,12 Rugged Tablets,Windows 10 pros,"Touchscreen, Touch ID, Shockproof, Bluetooth, Webcam integrated, Wi-Fi, Player SD",NO,Unknown,Unknown,1920.0,1080.0
Unknown,190.65,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,815.19,$,Unknown,4.0,Intel Core i5 6th generation,12.0,Unknown,Black,Unknown,2TB,Intel HD Graphics 520,2.80 GHz,Notebook/Laptop,Unknown,E7270,Windows 10 Pros,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Touchscreen,  Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Unknown,134.53,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,320.33,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,240GB,Nvidia GeForce GT720M,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 10 Pros,"10/100 LAN Card, Wi-Fi, SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Unknown,182.66,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Intel GMA 950,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,307.22,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,120GB,Intel HD Graphics 4400,Unknown,Laptop,Unknown,E5440,Windows 10 Pros,Unknown,NO,Unknown,Unknown,1920.0,1080.0
Unknown,772.0,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 520,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,577.69,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 520,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,507.86,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 4400,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,526.29,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel UHD 620,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Lenovo,490.11,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 4400,Unknown,Laptop,Unknown,T440s,Windows 11 Pro,Webcam integrated,NO,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,377.65,$,Unknown,4.0,Intel Core i5 6th generation,14.0,Unknown,Unknown,Unknown,256GB,Intel HD Graphics 520,Unknown,Unknown,Unknown,E736,Windows 11 Pro,Webcam integrated,NO,Unknown,Unknown,1920.0,1080.0
Unknown,426.0,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Gráficos Intel HD 520,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,411.49,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 4000,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,358.53,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 5500,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Toshiba,841.71,$,Unknown,4.0,Intel Core i5 7th generation,14.0,Unknown,Unknown,Unknown,960GB,Intel HD Graphics 620,2.00-3.00GHz,Notebook/Laptop,Unknown,X40-D-123,Windows 11 Pro,"Touchscreen, Touch ID, Bluetooth, Backlit Keyboard, MicroSD reader, Webcam integrated, Wi-Fi",NO,Unknown,Unknown,1920.0,1080.0
Unknown,29.3,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,374.69,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
LG,92.62,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,141.89,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,646.49,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 4600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,472.41,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
HP,90.99,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
LG,70.47,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,100.11,$,Unknown,4.0,Unknown,14.0,Unknown,Gris,Unknown,Unknown,AMD Radeon Gráficas,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,362.43,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 4400,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 10 Pros,"10/100 LAN Card, Wi-Fi, SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Chimei INNOLUX,103.24,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Simpletek,2.0,$,Unknown,4.0,inter Core i7 8550U,14.0,Unknown,Unknown,Unknown,2TB,Intel UHD Graphics 620,1.50-1.99GHz,Notebook/Laptop,Unknown,W14X,Windows 11 Pro,"Touch ID,  10/100 LAN Card,  Shockproof,  Bluetooth,  Webcam integrated,  Wi-Fi",NO,Unknown,SSD,1920.0,1080.0
Unknown,160.34,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Olidata,10.9,$,Unknown,4.0,Intel,15.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Lenovo,488.98,$,Unknown,4.0,Intel Core i5 6th generation,14.0,Unknown,Unknown,Unknown,240GB,INTEL HD GRAPHICS 520,2.40GHz,Notebook/Laptop,Unknown,T470,Windows 11 pros,"10/100 LAN Card,  Touchscreen,  Wi-Fi,  Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Unknown,275.56,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Gráficos Intel HD 520,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,432.45,$,Unknown,4.0,Intel Core i5 5th generation,14.0,Unknown,Unknown,Unknown,480GB,Intel HD Graphics 5500,Unknown,Laptop,Unknown,E7450,Windows 10 Pros,Unknown,NO,Unknown,Unknown,1920.0,1080.0
Unknown,456.35,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 520,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,103.55,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
